nid,prediction,actual,Sex,time,Subset
M4I,13.971464427932967,4.47,male,4,test
F8B,11.838675313582085,3.57,female,8,test
F0A,-8.646684402559266,-10.64,female,0,test
M0J,4.449324975504815,-6.16,male,0,test
M8F,8.833284984071646,3.57,male,8,test
M8E,8.469566546219866,12.22,male,8,test
F4K,-6.798611827696632,7.51,female,4,test
M4F,0.16160573624124552,2.02,male,4,test
F8I,3.5581536046290374,6.66,female,8,test
M4O,0.6100000001342494,0.61,male,4,train
F0K,-15.45999999959048,-15.46,female,0,train
F8F,8.680000000079204,8.68,female,8,train
F8E,15.469999999361027,15.47,female,8,train
F8C,14.019999999874058,14.02,female,8,train
F0C,-7.869999999612098,-7.87,female,0,train
M0K,4.949999999854718,4.95,male,0,train
M0I,-0.4800000000037272,-0.48,male,0,train
F4R,1.1199999998178676,1.12,female,4,train
F4E,3.8799999999829,3.88,female,4,train
M4R,1.9899999999967122,1.99,male,4,train
M8C,18.34999999996752,18.35,male,8,train
M8B,14.539999999972698,14.54,male,8,train
M4G,1.5000000001658194,1.5,male,4,train
