barcode,path,nac_path,mat_path,amb_path,time,sex,tissue,viallabel,pid,calculated.variables.pct_body_fat_change,calculated.variables.pct_body_lean_change,calculated.variables.pct_body_fluid_change,calculated.variables.lactate_change_dueto_train,calculated.variables.vo2_max_change,calculated.variables.coll_time_train,calculated.variables.deathtime_after_train,calculated.variables.frozetime_after_train
SRR25251614,/tolva/rat_attack/rat/count_matrices_SRR25251614/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251614/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251614/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251614/quants_unfiltered_ambiguous/abundance_1/abundance.h5,8,female,bat,90259016902,7,-2.2,4.5,-0.1,6.9,8.68,179121,178956,179217
SRR25251615,/tolva/rat_attack/rat/count_matrices_SRR25251615/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251615/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251615/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251615/quants_unfiltered_ambiguous/abundance_1/abundance.h5,8,female,bat,90258016902,8,1.3,0.3,-0.4,5.0,15.47,177908,177754,177956
SRR25251616,/tolva/rat_attack/rat/count_matrices_SRR25251616/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251616/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251616/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251616/quants_unfiltered_ambiguous/abundance_1/abundance.h5,8,female,bat,90254016902,9,0.2,2.8,-0.6,10.8,14.02,179982,179840,180060
SRR25251617,/tolva/rat_attack/rat/count_matrices_SRR25251617/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251617/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251617/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251617/quants_unfiltered_ambiguous/abundance_1/abundance.h5,0,female,bat,90252016902,10,3.4,-4.0,-0.4,6.9,3.92,189344,189183,189427
SRR25251618,/tolva/rat_attack/rat/count_matrices_SRR25251618/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251618/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251618/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251618/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,female,liver,90564016803,34,,,,,,182516,182538,182530
SRR25251619,/tolva/rat_attack/rat/count_matrices_SRR25251619/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251619/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251619/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251619/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,female,liver,90560016803,3,,,,,,168336,168361,168346
SRR25251620,/tolva/rat_attack/rat/count_matrices_SRR25251620/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251620/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251620/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251620/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,female,liver,90559016803,5,,,,,,179639,179663,179650
SRR25251621,/tolva/rat_attack/rat/count_matrices_SRR25251621/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251621/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251621/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251621/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,female,spleen,90567016202,33,,,,,,171222,171137,171266
SRR25251622,/tolva/rat_attack/rat/count_matrices_SRR25251622/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251622/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251622/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251622/quants_unfiltered_ambiguous/abundance_1/abundance.h5,1,female,spleen,90564016202,34,,,,,,182618,182538,182632
SRR25251623,/tolva/rat_attack/rat/count_matrices_SRR25251623/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251623/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251623/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251623/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,male,spleen,90281016202,29,-3.3,3.0,-0.7,5.4,1.5,180412,180278,180461
SRR25251624,/tolva/rat_attack/rat/count_matrices_SRR25251624/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251624/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251624/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251624/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,male,spleen,90280016202,30,-2.1,2.6,-0.2,11.6,2.02,179167,179048,179223
SRR25251625,/tolva/rat_attack/rat/count_matrices_SRR25251625/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251625/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251625/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251625/quants_unfiltered_ambiguous/abundance_1/abundance.h5,8,female,spleen,90267016202,31,-1.9,1.1,0.1,10.0,6.66,182705,182558,182751
SRR25251626,/tolva/rat_attack/rat/count_matrices_SRR25251626/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251626/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251626/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251626/quants_unfiltered_ambiguous/abundance_1/abundance.h5,2,male,spleen,90449016202,43,,,,,,182096,181978,182141
SRR25251627,/tolva/rat_attack/rat/count_matrices_SRR25251627/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251627/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251627/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251627/quants_unfiltered_ambiguous/abundance_1/abundance.h5,2,male,spleen,90444016202,42,,,,,,182935,182833,183009
SRR25251628,/tolva/rat_attack/rat/count_matrices_SRR25251628/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251628/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251628/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251628/quants_unfiltered_ambiguous/abundance_1/abundance.h5,4,male,blood,90281013001,29,-3.3,3.0,-0.7,5.4,1.5,179925,180278,187423
SRR25251629,/tolva/rat_attack/rat/count_matrices_SRR25251629/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251629/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251629/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251629/quants_unfiltered_ambiguous/abundance_1/abundance.h5,2,male,spleen,90441016202,41,,,,,,179277,179187,179326
SRR25251630,/tolva/rat_attack/rat/count_matrices_SRR25251630/quants_unfiltered_boot/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251630/quants_unfiltered_nascent/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251630/quants_unfiltered_mature/abundance_1/abundance.h5,/tolva/rat_attack/rat/count_matrices_SRR25251630/quants_unfiltered_ambiguous/abundance_1/abundance.h5,2,male,spleen,90439016202,47,,,,,,183226,183141,183269
