ID,rep_ID,phylum,class,order,family,genus,species,strandedness
u100488,u100488,.,.,.,.,.,.,unknown
u100491,u100491,.,.,.,.,.,.,unknown
u100493,u100493,.,.,.,.,.,.,unknown
u100498,u100498,.,.,.,.,.,.,unknown
u100505,u100505,.,.,.,.,.,.,unknown
u100511,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u101151,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u101561,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u101652,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u102097,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u102857,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u103356,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u103428,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u104106,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u105632,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u106370,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u107310,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u107313,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u111249,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
u11267,u100511,Kitrinoviricota,Tolucaviricetes,Tolivirales,Tombusviridae,Tombusvirus,.,+ssRNA
