10258	Viruses;Nucleocytoviricota;Pokkesviricetes;Chitovirales;Poxviridae;Parapoxvirus;Parapoxvirus orf;Orf virus
2697049	Viruses;Pisuviricota;Pisoniviricetes;Nidovirales;Coronaviridae;Betacoronavirus;Betacoronavirus pandemicum;Severe acute respiratory syndrome coronavirus 2
511145	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;Escherichia coli K-12
10386	Viruses;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae;Iltovirus;Iltovirus gallidalpha1;Gallid alphaherpesvirus 1
1352	Bacteria;Bacillota;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;Enterococcus faecium;
10376	Viruses;Peploviricota;Herviviricetes;Herpesvirales;Orthoherpesviridae;Lymphocryptovirus;Lymphocryptovirus humangamma4;human gammaherpesvirus 4
573	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;Klebsiella pneumoniae;Klebsiella/Raoultella group
4579	Eukaryota;Streptophyta;Magnoliopsida;Poales;Poaceae;Zea;Zea mays;Zea mays subsp. mexicana
1472306	Eukaryota;Streptophyta;Magnoliopsida;Rosales;Urticaceae;Cecropia;Cecropia pachystachya;
149440	Eukaryota;Streptophyta;Magnoliopsida;Asterales;Asteraceae;Lasthenia;Lasthenia californica;
2045451	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;Stenotrophomonas indicatrix;
2836077	Viruses;Uroviricota;Caudoviricetes;;;;Paenibacillus phage Pd_22F;unclassified Caudoviricetes
2979986	Viruses;Uroviricota;Caudoviricetes;;;;Klebsiella phage phiKp_32;unclassified Caudoviricetes
175245	Eukaryota;;;;;;uncultured fungus;environmental samples
3116700	Viruses;;;;;;Maldvirus fossil29388;unclassified dsDNA viruses
44415	Eukaryota;Apicomplexa;Conoidasida;Eucoccidiorida;Eimeriidae;Eimeria;Eimeria mitis;
470	Bacteria;Pseudomonadota;Gammaproteobacteria;Moraxellales;Moraxellaceae;Acinetobacter;Acinetobacter baumannii;
3128152	Viruses;Uroviricota;Caudoviricetes;;;;Nostoc phage Nsp-JY21;unclassified Caudoviricetes
2723963	Viruses;;;;;;Diabrotica undecimpunctata virus 1;unclassified Riboviria
439334	Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium avium;Mycobacterium avium subsp. hominissuis
7962	Eukaryota;Chordata;Actinopteri;Cypriniformes;Cyprinidae;Cyprinus;Cyprinus carpio;Clupeocephala
562	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia;Escherichia coli;
210	Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter pylori;
70125	Bacteria;Nitrospirota;Nitrospiria;Nitrospirales;Nitrospiraceae;Nitrospira;Nitrospira sp.;unclassified Nitrospira
76106	Eukaryota;Streptophyta;Magnoliopsida;Piperales;Asaraceae;Asarum;Asarum satsumense;
196024	Bacteria;Pseudomonadota;Gammaproteobacteria;Aeromonadales;Aeromonadaceae;Aeromonas;Aeromonas dhakensis;
